日時,ユーザー名,イベント種別,内容
2025-11-12 21:13:23,きづは🏅💘,comment,レイさんに雪投げなきゃ
2025-11-12 21:13:33,きづは🏅💘,gift,Baseball x1 (1coin)
2025-11-12 21:13:37,きづは🏅💘,gift,Nick x1 (20coin)
2025-11-12 21:13:37,きづは🏅💘,gift,Baseball x1 (1coin)
2025-11-12 21:13:40,きづは🏅💘,gift,Nick x1 (20coin)
2025-11-12 21:14:04,きづは🏅💘,comment,まってくっ付くのは聞いてないwwwww
2025-11-12 21:14:19,きづは🏅💘,gift,Judy x1 (20coin)
2025-11-12 21:14:22,きづは🏅💘,gift,Judy x1 (20coin)
2025-11-12 21:14:56,きづは🏅💘,comment,だんだん見えなくなってくる
2025-11-12 21:15:42,きづは🏅💘,comment,あれ配信主どこだ
2025-11-12 21:16:17,きづは🏅💘,comment,あれ声変わりした❓
2025-11-12 21:16:45,きづは🏅💘,comment,工藤みを感じるニックだなぁ( ˇωˇ )
2025-11-12 21:17:04,きづは🏅💘,comment, 
2025-11-12 21:17:33,きづは🏅💘,comment,声質が似てるww😂
2025-11-12 21:18:21,きづは🏅💘,comment,えー迷う
2025-11-12 21:18:44,きづは🏅💘,comment,大塚さんなの！
2025-11-12 21:19:16,きづは🏅💘,comment,ニックで保険かけないでww
2025-11-12 21:19:49,きづは🏅💘,comment,あー！似てる！
2025-11-12 21:20:02,きづは🏅💘,comment,特徴捉えるのうまい
2025-11-12 21:20:31,きづは🏅💘,comment,声ひっくいよね
2025-11-12 21:21:07,きづは🏅💘,comment,大塚さんあんまり詳しくないんだけど夏にねずみ男してたのは知ってる
2025-11-12 21:21:37,きづは🏅💘,comment,迷うどうしよ
2025-11-12 21:21:47,きづは🏅💘,comment,舞台でやってたよー
2025-11-12 21:22:11,きづは🏅💘,comment,木村良平さんで
2025-11-12 21:22:38,きづは🏅💘,comment,マギとか
2025-11-12 21:22:50,きづは🏅💘,comment,結構何でも出てる
2025-11-12 21:23:13,きづは🏅💘,comment,マギのジュダルが好きで……т ̫ т
2025-11-12 21:23:45,きづは🏅💘,comment,ポケモンに惹かれたかー
2025-11-12 21:24:07,きづは🏅💘,comment,ハイキューわかる？
2025-11-12 21:24:24,きづは🏅💘,comment,木兎光太郎
2025-11-12 21:25:18,きづは🏅💘,comment,あれww
2025-11-12 21:25:48,きづは🏅💘,comment,冒険とかある系かな
2025-11-12 21:26:12,きづは🏅💘,comment,アニメまでしか知識ない
2025-11-12 21:26:53,きづは🏅💘,comment,説明がムズい⁡
2025-11-12 21:27:48,きづは🏅💘,comment,魔導冒険譚なんだよねー、ダンジョンクリアして力手に入れてーみたいな
2025-11-12 21:28:29,きづは🏅💘,comment,説明苦手⁡🙃
2025-11-12 21:29:14,きづは🏅💘,comment,擬音とか身振り手振りで説明しちゃう系だから⁡
2025-11-12 21:30:06,きづは🏅💘,comment,初めて聞いた🤔
2025-11-12 21:30:54,きづは🏅💘,comment,え面白そう
2025-11-12 21:31:19,きづは🏅💘,comment,アシスタントにされるのか
2025-11-12 21:31:58,きづは🏅💘,comment,あー鈍感男子いいね🫵🏻🫵🏻
2025-11-12 21:33:05,きづは🏅💘,comment,少女漫画よくみるの？
2025-11-12 21:33:27,きづは🏅💘,comment,見るしかないね
2025-11-12 21:34:02,きづは🏅💘,comment,逆に学生のとき何してたの！
2025-11-12 21:34:25,きづは🏅💘,comment,ゲームかー！
2025-11-12 21:34:51,きづは🏅💘,comment,3DS？
2025-11-12 21:35:17,きづは🏅💘,comment,今レトロゲーム化しててこわい
2025-11-12 21:35:46,きづは🏅💘,comment,俺らの青春〜〜〜😭
2025-11-12 21:36:05,きづは🏅💘,comment,もちろんやん🫵🏻🫵🏻
2025-11-12 21:36:27,きづは🏅💘,comment,でも妖怪ウォッチがかなりやり込んでた
2025-11-12 21:37:02,きづは🏅💘,comment,私ポケモン通ってない👉🏻👈🏻
2025-11-12 21:37:22,きづは🏅💘,comment,派閥別れるよねぇ
2025-11-12 21:38:26,きづは🏅💘,comment,とび森戻るか😂
2025-11-12 21:38:49,きづは🏅💘,comment,ししょーのとこいっていっぱいリアクション貰うんだよね
2025-11-12 21:39:24,きづは🏅💘,comment,差し入れなら何でもだったはず
2025-11-12 21:40:00,きづは🏅💘,comment,あと南の島だね
2025-11-12 21:40:21,きづは🏅💘,comment,サソリが手強くてだなぁ🫵🏻
2025-11-12 21:41:26,きづは🏅💘,comment,鶏肉ならわかるけど
2025-11-12 21:41:46,きづは🏅💘,comment,かなり層を絞ってる
2025-11-12 21:42:48,きづは🏅💘,comment,今なうでしてるよ
2025-11-12 21:43:06,きづは🏅💘,comment,来年アプデ来るからがんばってる
2025-11-12 21:43:23,きづは🏅💘,comment,内容激アツだよ❤️‍🔥
2025-11-12 21:43:57,きづは🏅💘,comment,禁断症状出ちゃったww
2025-11-12 21:44:05,きづは🏅💘,comment,売るしかない
2025-11-12 21:44:30,きづは🏅💘,comment,じゃあお仕事かぁ
2025-11-12 21:44:52,きづは🏅💘,comment,さびしいね
2025-11-12 21:45:28,きづは🏅💘,comment,バイトからしてく？
2025-11-12 21:45:48,きづは🏅💘,comment,やばいwww
2025-11-12 21:46:30,きづは🏅💘,comment,学生の頃を思い出すんだよ
2025-11-12 21:46:59,きづは🏅💘,comment,友達と遊ぶんだよ
2025-11-12 21:47:31,きづは🏅💘,comment,作業ゲー苦手タイプ？
2025-11-12 21:48:13,きづは🏅💘,comment,枯れる前に売らないといけんやつ( •᷄ᴗ•́)
2025-11-12 21:48:43,きづは🏅💘,comment,経験者は語る
2025-11-12 21:49:12,きづは🏅💘,comment,初めて買った時のショック忘れない
2025-11-12 21:49:44,きづは🏅💘,comment,読みあてるしかない
2025-11-12 21:50:28,きづは🏅💘,comment,進捗報告会
2025-11-12 21:51:04,きづは🏅💘,comment,やばい作り直し中で穴ぼこ
2025-11-12 21:51:14,きづは🏅💘,comment,えーる厳しめだもんね
2025-11-12 21:52:06,きづは🏅💘,comment,なんだい😂
2025-11-12 21:52:31,きづは🏅💘,comment,らんらんも言ってたね
2025-11-12 21:53:04,きづは🏅💘,comment,ギフト妨害はいいんだ
2025-11-12 21:53:48,きづは🏅💘,comment,配信って難しいもんね
2025-11-12 21:54:07,きづは🏅💘,comment,バトルして名前売るしかない
2025-11-12 21:55:23,きづは🏅💘,comment,良ければ一人声かけとくよ優しい子いる
2025-11-12 21:56:18,きづは🏅💘,comment,ダイチャレ大変⁡ね😞
2025-11-12 21:57:07,きづは🏅💘,comment,めっちゃ動いてそう
2025-11-12 22:00:13,きづは🏅💘,comment,落ちます!⁡また来るねー！話楽しかった🫶🏻
2025-11-12 22:00:18,きづは🏅💘,gift,Nick x1 (20coin)
2025-11-12 22:00:23,きづは🏅💘,gift,Nick x1 (20coin)
